entloss,optimgain,EpisodesSoFar,ev_tdlam_before,surrgain,EpRewMean,EpLenMean,meankl,TimeElapsed,entropy,TimestepsSoFar,EpThisIter
,0.00265178,112452,0.226719379425,0.00265178,1.35,66.825,0.000941292,23209.192066431046,0.0128361,9913787,6
,0.00860028,112456,0.088984131813,0.00860028,1.55,74.9,0.000568281,23210.407232522964,0.0102077,9914230,4
,0.00263027,112460,0.0117069482803,0.00263027,1.75,82.85,0.000938024,23211.61858677864,0.020347,9914754,4
,0.0155315,112464,0.0639330148697,0.0155315,2.075,95.05,0.00137742,23212.83668422699,0.0152253,9915334,4
,0.00161972,112471,0.163726508617,0.00161972,1.875,88.875,0.000500032,23214.065221309662,0.00722861,9915821,7
,0.00207701,112475,0.0418844223022,0.00207701,1.825,88.725,0.000528593,23215.276119232178,0.0309222,9916340,4
,0.00719748,112479,0.0144214034081,0.00719748,2.025,97.0,0.00106639,23216.488964796066,0.0199244,9916884,4
,0.000539035,112486,-0.0460821390152,0.000539035,2.125,102.375,0.00124571,23217.73793578148,0.00785587,9917423,7
,0.00191764,112496,0.146128237247,0.00191764,1.9,93.05,0.00114928,23218.971470594406,0.00774883,9917952,10
,0.00371724,112500,0.0662114024162,0.00371724,1.85,92.6,0.000721238,23220.172738313675,0.0144503,9918458,4
,0.00312488,112504,-0.0936870574951,0.00312488,1.85,90.725,0.000367279,23221.373246908188,0.0141794,9918963,4
,0.00142202,112518,0.10170096159,0.00142202,1.2,66.025,0.000526466,23222.65137529373,0.0107525,9919448,14
,0.00725419,112522,0.0579798817635,0.00725419,1.4,71.75,0.000840527,23223.866923332214,0.0153994,9919936,4
,0.00284964,112526,0.0168926119804,0.00284964,1.525,75.925,0.000906966,23225.086206912994,0.0125779,9920460,4
,0.00974425,112529,0.00111991167068,0.00974425,1.725,83.5,0.0011446,23226.300191402435,0.0283737,9920970,3
,0.006332,112532,-0.0023877620697,0.006332,2.0,93.825,0.00050183,23227.495322942734,0.0205042,9921484,3
,0.00268616,112536,0.0820979475975,0.00268616,2.075,97.85,0.00143358,23228.720445156097,0.0114432,9921866,4
,0.00293243,112540,0.163937091827,0.00293243,2.075,97.85,0.00103997,23229.93268442154,0.011933,9922372,4
,0.00385404,112544,-0.1312251091,0.00385404,2.1,99.125,0.00106488,23231.158472299576,0.0100017,9922928,4
,0.00180602,112554,0.0671387910843,0.00180602,2.325,107.525,0.00114443,23232.398609161377,0.00710565,9923568,10
,0.00118699,112560,0.165372908115,0.00118699,2.425,112.15,0.000589971,23233.631405830383,0.00515144,9924033,6
,0.00186253,112564,0.0352672934532,0.00186253,2.375,109.4,0.000518936,23234.84041571617,0.00996968,9924587,4
,0.00165356,112567,0.0306085944176,0.00165356,2.45,110.4,0.000428849,23236.07607936859,0.0143481,9925092,3
,0.000463389,112570,-0.0211818218231,0.000463389,2.475,111.225,0.000373463,23237.30149793625,0.00730516,9925541,3
,0.00267782,112574,0.0141788721085,0.00267782,2.525,111.475,0.000983666,23238.491689682007,0.0127149,9926095,4
,0.00115514,112578,0.0156735777855,0.00115514,2.575,110.575,0.000698522,23239.72435235977,0.0123435,9926640,4
,0.00394031,112583,0.267957448959,0.00394031,2.575,110.775,0.000504169,23240.973435401917,0.0154074,9927167,5
,0.00292711,112587,0.198439180851,0.00292711,2.65,111.075,0.000672924,23242.18283176422,0.0120856,9927587,4
,0.00183203,112590,-0.00609862804413,0.00183203,2.925,121.15,0.000812469,23243.406870365143,0.015132,9928059,3
,0.00751239,112593,-0.0359050035477,0.00751239,3.175,129.8,0.00117502,23244.595759153366,0.0249736,9928609,3
,0.00109565,112600,-0.139774680138,0.00109565,3.15,128.675,0.000439062,23245.816313505173,0.0147118,9929180,7
,0.00120081,112615,0.187848865986,0.00120081,1.875,86.175,0.000403711,23247.082599163055,0.0118383,9929723,15
,0.00304115,112618,0.00173497200012,0.00304115,2.0,89.425,0.00119353,23248.289909362793,0.0194921,9930217,3
,0.00512614,112624,0.0305607914925,0.00512614,1.875,83.75,0.000481633,23249.509427785873,0.0245253,9930619,6
,0.00292029,112630,0.179402410984,0.00292029,1.7,79.0,0.000960222,23250.73595380783,0.0245474,9931219,6
,0.000502989,112634,-0.0283607244492,0.000502989,1.6,74.475,0.00108315,23251.94950056076,0.00970081,9931724,4
,0.00306402,112637,-0.0423922538757,0.00306402,1.775,80.45,0.000481783,23253.157740354538,0.0152195,9932188,3
,0.0053954,112642,0.0516315698624,0.0053954,1.925,87.3,0.00115048,23254.35189318657,0.0184205,9932775,5
,0.000639714,112645,-0.00210523605347,0.000639714,2.125,94.65,0.000370771,23255.576986312866,0.00470219,9933279,3
,0.00400779,112648,-0.0613518953323,0.00400779,2.425,103.475,0.000741396,23256.768087387085,0.0121684,9933701,3
,0.00361793,112652,0.0636072158813,0.00361793,2.825,116.975,0.00129346,23257.98955965042,0.0205494,9934333,4
,0.00478636,112660,0.166414320469,0.00478636,2.575,111.1,0.000570404,23259.20553803444,0.0134849,9934757,8
,0.00255368,112666,0.0686962604523,0.00255368,2.5,109.5,0.000616788,23260.43906569481,0.0218953,9935359,6
,0.00454109,112670,0.0619487762451,0.00454109,2.675,116.15,0.00120601,23261.66369843483,0.0203624,9935865,4
,0.00243283,112677,0.139751076698,0.00243283,2.375,104.175,0.000392883,23262.9097533226,0.0138271,9936355,7
,0.00230043,112688,0.170856297016,0.00230043,1.65,79.85,0.000438077,23264.157271146774,0.0263527,9936895,11
,0.00206886,112696,0.190394461155,0.00206886,1.325,67.75,0.000533701,23265.400807619095,0.00926319,9937261,8
,0.00252091,112705,0.107879161835,0.00252091,1.225,66.875,0.0012945,23266.654160261154,0.0161592,9937882,9
,0.0061494,112709,0.0601342320442,0.0061494,1.2,66.025,0.000879017,23267.861094236374,0.0215041,9938428,4
,0.00233257,112714,0.0180667638779,0.00233257,1.35,71.575,0.000511783,23269.074885368347,0.0145769,9938941,5
,0.00196238,112717,0.0102434158325,0.00196238,1.4,75.2,0.00101205,23270.27777171135,0.0153657,9939363,3
,0.00187768,112725,-0.0395197868347,0.00187768,1.55,79.7,0.00057222,23271.519602060318,0.0207355,9939925,8
,0.00130332,112736,0.196949779987,0.00130332,1.55,79.675,0.000578858,23272.773597240448,0.0115034,9940448,11
,0.00441593,112739,0.000973641872406,0.00441593,1.625,81.55,0.000723618,23273.981739521027,0.00465592,9940951,3
,0.00207071,112750,0.131770431995,0.00207071,1.4,72.275,0.000804016,23275.24541735649,0.0159982,9941477,11
,0.00144006,112753,0.0391919016838,0.00144006,1.6,79.75,0.000723331,23276.434076547623,0.015357,9941980,3
,0.000590477,112757,0.093001127243,0.000590477,1.55,77.95,0.00104764,23277.64682507515,0.00852886,9942481,4
,0.00328328,112763,0.0520870685577,0.00328328,1.65,80.025,0.000587581,23278.8601436615,0.00610579,9943027,6
,0.00435693,112766,0.139276862144,0.00435693,1.775,86.175,0.0012822,23280.063524484634,0.0187634,9943423,3
,0.00163588,112770,0.0235961079597,0.00163588,2.025,96.025,0.000815923,23281.310777425766,0.00271528,9944023,4
,0.000319328,112773,-0.0315316915512,0.000319328,2.3,105.65,0.000922352,23282.531046628952,0.00459444,9944477,3
,0.00353017,112777,-0.000458121299744,0.00353017,2.475,111.425,0.000908446,23283.75638771057,0.00949028,9945036,4
,0.000762546,112780,0.126339972019,0.000762546,2.5,112.025,0.00045077,23285.006247758865,0.00672722,9945586,3
,0.0019886,112796,0.0865864753723,0.0019886,2.05,95.25,0.001476,23286.280490875244,0.00995619,9946096,16
