entloss,EpisodesSoFar,meankl,ev_tdlam_before,EpRewMean,EpLenMean,TimeElapsed,EpThisIter,optimgain,TimestepsSoFar,entropy,surrgain
,132451,0.000611139,0.0699895620346,1.25,71.825,18890.946380853653,6,6.82473e-05,8068546,0.00160228,6.82473e-05
,132465,0.00114794,0.266548216343,1.25,71.825,18892.18145442009,14,0.00131546,8069017,0.000751826,0.00131546
,132471,0.00106991,0.0635715126991,1.275,72.0,18893.404740810394,6,0.00130968,8069600,0.0033246,0.00130968
,132480,0.00134875,0.193058609962,1.2,69.175,18894.63663816452,9,0.000547789,8070137,0.00106089,0.000547789
,132491,0.00134875,0.270884275436,0.7,49.75,18895.806480407715,11,0.000547789,8070536,0.00106089,0.000547789
,132505,0.000997193,0.213187754154,0.675,49.675,18897.038403749466,14,0.000512496,8071004,0.00177802,0.000512496
,132515,0.000160729,0.175745069981,0.375,37.725,18898.224483966827,10,0.000211775,8071531,0.00067392,0.000211775
,132519,0.000833407,0.0275083184242,0.65,48.225,18899.41055560112,4,0.000510713,8072043,0.00041835,0.000510713
,132527,0.000594772,0.159386754036,0.925,59.4,18900.62037205696,8,0.000725482,8072674,0.00140572,0.000725482
,132544,0.000565644,0.22988140583,0.825,55.5,18901.887779951096,17,0.00115,8073201,0.00104935,0.00115
,132550,0.000408708,0.0319727063179,0.825,55.5,18903.11269879341,6,0.000965178,8073636,0.00130279,0.000965178
,132563,0.000982251,0.29289662838,0.65,48.55,18904.363900899887,13,0.00172518,8074232,0.00130499,0.00172518
,132572,0.00100003,0.289241194725,0.6,45.275,18905.597822904587,9,0.0019399,8074736,0.0011921,0.0019399
,132586,3.65058e-05,0.252481400967,0.6,45.275,18906.833476305008,14,4.20902e-05,8075206,0.000186774,4.20902e-05
,132596,0.000665202,0.160676240921,0.5,41.5,18908.02133154869,10,0.000837731,8075731,0.00125981,0.000837731
,132605,0.000507387,0.149793565273,0.65,48.55,18909.274965763092,9,0.000697043,8076220,0.00326249,0.000697043
,132615,0.000878929,0.156085669994,0.65,48.55,18910.536108732224,10,0.00129086,8076747,0.00131774,0.00129086
,132620,0.000605214,0.0580226182938,0.9,59.25,18911.762878894806,5,0.00294377,8077290,0.00190848,0.00294377
,132628,0.00104453,0.138951897621,0.9,60.425,18913.00315260887,8,0.00131053,8077818,0.0029591,0.00131053
,132633,0.000745897,0.0685265660286,1.15,69.95,18914.23810839653,5,0.00224616,8078314,0.00115463,0.00224616
,132650,0.000745897,0.231161296368,0.7,51.825,18915.43979358673,17,0.00224616,8078705,0.00115463,0.00224616
,132660,0.000596752,0.163930058479,0.65,48.55,18916.683628082275,10,0.00239322,8079232,0.00102524,0.00239322
,132666,0.000238295,0.0232535004616,0.85,56.025,18917.88547372818,6,0.000512868,8079815,0.00102481,0.000512868
,132676,0.000860731,0.167305290699,0.7,48.975,18919.110357522964,10,0.00141838,8080342,0.00129301,0.00141838
,132686,0.00101457,0.160446047783,0.9,56.4,18920.342860221863,10,0.0017741,8080869,0.00116351,0.0017741
,132696,0.000850405,0.149728953838,0.9,56.4,18921.594344615936,10,0.00135905,8081396,0.00130177,0.00135905
,132701,0.00100787,0.0332176685333,1.0,60.125,18922.827890396118,5,0.0023066,8081808,0.00115937,0.0023066
,132708,0.000373454,0.0417506098747,1.0,60.125,18924.06187272072,7,0.00138993,8082415,0.00264386,0.00138993
,132715,0.000958901,0.0368863344193,1.2,67.55,18925.28119659424,7,0.00209107,8082873,0.000916424,0.00209107
,132725,0.000821138,0.183808922768,1.2,67.55,18926.517834186554,10,0.00132977,8083400,0.00142107,0.00132977
,132730,0.000390458,0.064280807972,1.25,70.825,18927.73832297325,5,0.00117016,8083943,0.00429871,0.00117016
,132735,0.000481432,0.0335618257523,1.45,78.25,18928.92786693573,5,0.00223951,8084355,0.00087871,0.00223951
,132749,0.000841184,0.242194533348,1.05,63.4,18930.18203186989,14,0.000984561,8084974,0.00135616,0.000984561
,132754,0.00056624,0.0800971388817,1.075,65.925,18931.39847946167,5,0.00230245,8085487,0.00575161,0.00230245
,132770,8.36081e-08,0.264627814293,0.65,48.55,18932.63839817047,16,2.6077e-08,8085885,1.84143e-10,2.6077e-08
,132776,0.000507463,0.0346141457558,0.65,48.55,18933.812767267227,6,1.56909e-05,8086468,0.00138865,1.56909e-05
,132780,0.00203754,0.0290566682816,0.775,54.275,18935.015474796295,4,0.00105951,8086938,0.00132914,0.00105951
,132787,0.000560306,0.157928645611,1.05,65.275,18936.259275197983,7,0.000906222,8087539,0.00333847,0.000906222
,132793,0.000650604,0.135310411453,1.05,65.275,18937.471558094025,6,0.00215096,8088021,0.00119206,0.00215096
,132810,1.08755e-05,0.337877988815,1.05,65.275,18938.727923631668,17,3.72063e-06,8088496,7.88093e-05,3.72063e-06
,132822,0.000227361,0.259588718414,0.55,45.725,18939.964949131012,12,0.000522604,8089069,0.00155303,0.000522604
,132832,0.000967863,0.195548415184,0.45,41.125,18941.20884203911,10,0.00138652,8089591,0.00129372,0.00138652
,132841,0.000865713,0.180999875069,0.55,45.025,18942.43821835518,9,0.00210083,8090090,0.000469032,0.00210083
,132860,0.000865713,0.329331815243,0.35,37.6,18943.62367773056,19,0.00210083,8090527,0.000469032,0.00210083
,132865,0.00122429,0.018344938755,0.6,48.3,18944.838886022568,5,0.00216415,8091070,0.00508198,0.00216415
,132875,0.000634318,0.199008524418,0.625,48.425,18946.04692053795,10,0.000799414,8091597,0.00125088,0.000799414
,132880,0.000757077,0.0494110584259,0.625,48.425,18947.230716466904,5,0.00220559,8092004,0.0015843,0.00220559
,132885,0.00111615,0.0239651203156,0.875,59.125,18948.487465143204,5,0.00292753,8092547,0.0054972,0.00292753
,132894,0.000709487,0.186928749084,1.125,69.825,18949.740046977997,9,0.00182049,8093182,0.00609142,0.00182049
,132903,0.000928004,0.174253880978,1.125,68.65,18950.932987451553,9,0.00100822,8093686,0.00179438,0.00100822
,132920,0.000928004,0.252691745758,0.7,51.825,18952.098558187485,17,0.00100822,8094077,0.00179438,0.00100822
,132930,0.000417896,0.200248777866,0.4,37.85,18953.313835144043,10,0.00140272,8094604,0.00324123,0.00140272
,132940,0.000449872,0.108348548412,0.375,37.725,18954.47904729843,10,0.000563612,8095126,0.00119401,0.000563612
,132950,0.000255004,0.0546966195107,0.575,45.15,18955.708232164383,10,0.00042362,8095653,0.00132015,0.00042362
,132956,0.000811711,0.0084422826767,0.875,56.225,18956.91921234131,6,0.00175032,8096234,0.00156414,0.00175032
,132961,0.000346575,0.129661202431,0.95,59.875,18958.133845329285,5,0.000849955,8096643,0.00294707,0.000849955
,132980,0.000573512,0.0944679379463,0.775,52.575,18959.471211910248,19,0.000338539,8097229,0.00131693,0.000338539
,132990,0.000877522,0.181064784527,0.775,52.575,18960.69192147255,10,0.00175531,8097756,0.00119203,0.00175531
,132995,0.000738878,-0.00643336772919,0.775,52.575,18961.891817092896,5,0.0017043,8098168,0.00163151,0.0017043
,133005,0.000742169,0.198296129704,0.575,45.15,18963.096669197083,10,0.00162384,8098690,0.00196911,0.00162384
,133011,0.000495076,0.0691864490509,0.85,56.15,18964.280609369278,6,0.00216748,8099268,0.00150532,0.00216748
,133016,0.00140218,0.0379255414009,1.05,63.575,18965.480641126633,5,0.00182982,8099680,0.00412043,0.00182982
,133026,0.000916975,0.236077368259,1.05,63.575,18966.713268518448,10,0.00200278,8100207,0.00127294,0.00200278
,133045,0.000966621,0.302458405495,0.775,52.575,18967.99909877777,19,0.00155579,8100793,0.00123247,0.00155579
,133055,0.000704162,0.200809180737,0.6,45.275,18969.217376947403,10,0.00204092,8101320,0.00385998,0.00204092
,133060,0.000795956,-0.00491726398468,0.6,45.275,18970.439592838287,5,0.00221645,8101732,0.00266878,0.00221645
,133075,0.000821718,0.263229250908,0.6,45.275,18971.68893146515,15,0.00143192,8102374,0.00265435,0.00143192
,133085,0.00102141,0.206579685211,0.775,52.575,18972.88275527954,10,0.000942338,8102896,0.00216409,0.000942338
,133090,0.00143241,0.0207232832909,0.75,52.45,18974.079191684723,5,0.00226795,8103303,0.00147346,0.00226795
,133096,0.000383424,0.0113369822502,0.95,59.875,18975.32037472725,6,0.00153197,8103886,0.00544217,0.00153197
,133101,0.00062999,0.00051212310791,0.95,59.825,18976.542717456818,5,0.000623967,8104296,0.00271797,0.000623967
,133111,0.000665056,0.124561369419,1.025,63.4,18977.772728443146,10,8.28356e-05,8104818,0.000783119,8.28356e-05
,133116,0.000606376,0.0664976835251,1.175,70.45,18979.00364637375,5,0.00163358,8105361,0.0103963,0.00163358
,133130,0.000783728,0.16231328249,1.075,66.55,18980.272555351257,14,0.00365236,8105965,0.0106181,0.00365236
,133135,0.000698486,-0.0423856973648,1.075,66.55,18981.49013876915,5,0.0011238,8106377,0.00297379,0.0011238
,133149,0.000352884,0.357601106167,0.9,59.25,18982.762027025223,14,0.00122935,8106996,0.00344741,0.00122935
,133155,0.000461689,0.0325996279716,0.85,55.975,18983.98782682419,6,0.0025015,8107431,0.00341114,0.0025015
,133165,0.000915802,0.23685157299,0.8,52.7,18985.25214767456,10,0.00194464,8107958,0.00196384,0.00194464
,133171,0.00135501,0.122624993324,0.95,59.7,18986.469608068466,6,0.00305459,8108524,0.00820592,0.00305459
,133178,0.000620557,0.177036762238,0.85,57.15,18987.693933725357,7,0.0015469,8109029,0.00737939,0.0015469
,133182,0.00122927,0.115433931351,1.075,66.55,18988.94444823265,4,0.00416471,8109497,0.00857124,0.00416471
,133191,0.000575721,0.189741551876,1.15,69.95,18990.19073033333,9,0.00316366,8109988,0.00236319,0.00316366
,133205,0.000186115,0.177905201912,0.95,62.525,18991.45084643364,14,0.000235301,8110459,0.000787803,0.000235301
,133214,0.000570743,0.116907894611,0.95,62.525,18992.7225792408,9,0.00183218,8111094,0.0062774,0.00183218
,133230,0.000570743,0.221400976181,0.45,41.125,18993.940983057022,16,0.00183218,8111462,0.0062774,0.00183218
,133246,0.000660737,0.265726983547,0.35,37.475,18995.195053577423,16,0.000503413,8112127,0.0028233,0.000503413
,133256,0.000660737,0.136442959309,0.3,34.075,18996.344100236893,10,0.000503413,8112503,0.0028233,0.000503413
,133261,0.000496993,0.0552404522896,0.55,44.775,18997.574162244797,5,0.00266864,8113046,0.00465591,0.00266864
,133275,0.000844341,0.184400260448,0.5,44.4,18998.865260124207,14,0.00131942,8113650,0.00449707,0.00131942
,133282,0.000363417,0.21322453022,0.675,51.7,19000.08112168312,7,0.00141025,8114103,0.00649039,0.00141025
,133287,0.000860203,0.0686770677567,0.925,62.4,19001.31488633156,5,0.0028182,8114646,0.00607696,0.0028182
,133300,0.00141459,0.30044645071,0.75,55.1,19002.5634329319,13,0.00152403,8115081,0.0011171,0.00152403
,133314,0.000898149,0.283447384834,0.7,51.825,19003.81169939041,14,0.00124053,8115700,0.00273718,0.00124053
,133323,0.000425644,0.168813347816,0.7,50.65,19005.074952363968,9,0.00252318,8116204,0.00343705,0.00252318
,133328,0.00127364,0.0930424332619,0.65,48.55,19006.282577991486,5,0.00310937,8116663,0.0071315,0.00310937
