total_timesteps,explained_variance,policy_entropy,fps,nupdates,value_loss
2736000,0.8357168436050415,1.2058967351913452,1324,34200,0.03088911436498165
2744000,0.7668462246656418,1.1282163858413696,1324,34300,0.025794479995965958
2752000,0.8489744961261749,1.1933963298797607,1325,34400,0.018810812383890152
2760000,0.7368484437465668,1.1735763549804688,1325,34500,0.025312025099992752
2768000,0.7403934001922607,1.1138323545455933,1325,34600,0.02561293914914131
2776000,0.6876775026321411,1.1932358741760254,1325,34700,0.032023102045059204
2784000,0.7557045817375183,1.150160551071167,1325,34800,0.02864905074238777
2792000,0.9027095288038254,1.0492031574249268,1325,34900,0.012213999405503273
2800000,0.8062130808830261,1.102368950843811,1325,35000,0.026042670011520386
2808000,0.7756388336420059,1.1188666820526123,1325,35100,0.029270518571138382
2816000,0.8015565425157547,1.114354133605957,1325,35200,0.021391162648797035
2824000,0.8574568778276443,1.0195658206939697,1326,35300,0.026670772582292557
2832000,0.7001657485961914,1.118998646736145,1326,35400,0.02963474951684475
2840000,0.7522169947624207,1.1171950101852417,1326,35500,0.030544381588697433
2848000,0.7385396659374237,1.142462968826294,1326,35600,0.030120622366666794
2856000,0.8041900396347046,1.1054527759552002,1326,35700,0.017077937722206116
2864000,0.8826153427362442,1.1547396183013916,1326,35800,0.019152265042066574
2872000,0.7292259037494659,1.0720715522766113,1326,35900,0.027169357985258102
2880000,0.5997451543807983,1.2067091464996338,1326,36000,0.02582736872136593
2888000,0.586346447467804,1.120973825454712,1327,36100,0.04799627512693405
2896000,0.8581739366054535,1.1364939212799072,1327,36200,0.01793024130165577
2904000,0.8071542084217072,1.1826595067977905,1327,36300,0.01779818721115589
2912000,0.7624249309301376,1.1471202373504639,1327,36400,0.023666631430387497
2920000,0.7073898315429688,1.2211476564407349,1327,36500,0.03143072873353958
2928000,0.8186995983123779,1.1067110300064087,1327,36600,0.016126662492752075
2936000,0.7320335209369659,1.0445866584777832,1327,36700,0.023792726919054985
2944000,0.6447077393531799,1.13579261302948,1327,36800,0.019238080829381943
2952000,0.8283738046884537,1.1187893152236938,1327,36900,0.025235047563910484
2960000,0.8145291209220886,1.159275770187378,1327,37000,0.0265201386064291
2968000,0.8395063281059265,1.2007938623428345,1328,37100,0.02355601079761982
2976000,0.8118436187505722,1.2087624073028564,1328,37200,0.02727697417140007
2984000,0.699264645576477,1.1481446027755737,1328,37300,0.05700355023145676
2992000,0.8612204194068909,1.194979190826416,1328,37400,0.02018045261502266
3000000,0.7359394431114197,1.1796038150787354,1328,37500,0.030157212167978287
3008000,0.7788629233837128,1.185913324356079,1328,37600,0.02066800929605961
3016000,0.8792007118463516,1.2106910943984985,1328,37700,0.017697537317872047
3024000,0.7832834869623184,1.1329491138458252,1328,37800,0.028665106743574142
3032000,0.7947793453931808,1.1382863521575928,1328,37900,0.03171111270785332
3040000,0.5814073383808136,1.1183078289031982,1329,38000,0.020074406638741493
3048000,0.6479734778404236,1.1124811172485352,1329,38100,0.019690940156579018
3056000,0.7829050123691559,1.0550200939178467,1329,38200,0.03111881949007511
3064000,0.7092819213867188,1.0750874280929565,1329,38300,0.043525513261556625
3072000,0.8374613523483276,0.9616718292236328,1329,38400,0.020798292011022568
3080000,0.7779087275266647,1.0013513565063477,1329,38500,0.041769564151763916
3088000,0.8400504291057587,1.0689117908477783,1329,38600,0.028663193807005882
3096000,0.6466074287891388,1.1229585409164429,1329,38700,0.047575972974300385
3104000,0.7666670233011246,1.1056547164916992,1330,38800,0.03789399564266205
3112000,0.8432320207357407,1.119459867477417,1330,38900,0.013025214895606041
3120000,0.8741931021213531,1.1769462823867798,1330,39000,0.01071371790021658
3128000,0.6305133700370789,1.1241986751556396,1330,39100,0.03271856904029846
3136000,0.5220164060592651,1.245293378829956,1330,39200,0.02887391485273838
3144000,0.8925343602895737,1.1192041635513306,1330,39300,0.010872404091060162
3152000,0.8420081734657288,1.1033216714859009,1330,39400,0.01712641306221485
3160000,0.4742385745048523,1.0885978937149048,1330,39500,0.04202393814921379
