entloss,EpLenMean,EpRewMean,EpisodesSoFar,meankl,optimgain,EpThisIter,entropy,ev_tdlam_before,TimestepsSoFar,surrgain,TimeElapsed
,940.425,-20.15,81,0.000995123,0.0124037,,1.62583,-0.0025247335434,76263,0.0124037,159.8784818649292
,940.425,-20.15,81,0.00106627,0.0143918,,1.60381,0.000227153301239,76263,0.0143918,160.95772314071655
,946.525,-20.125,82,0.000951523,0.013644,1,1.67811,0.00103086233139,77341,0.013644,162.05065250396729
,942.9,-20.125,83,0.000997408,0.0133329,1,1.64941,0.00126767158508,78162,0.0133329,163.1091239452362
,942.9,-20.125,83,0.00104201,0.0133489,,1.61568,-0.00475597381592,78162,0.0133489,164.171772480011
,942.85,-20.1,84,0.0010318,0.0127359,1,1.65352,0.00137919187546,78997,0.0127359,165.24020767211914
,940.3,-20.125,85,0.00101609,0.0133504,1,1.69337,0.000702321529388,79817,0.0133504,166.3149209022522
,940.3,-20.125,85,0.00115441,0.0150807,,1.68874,-0.00173676013947,79817,0.0150807,167.41998028755188
,940.6,-20.15,86,0.00108581,0.0153761,1,1.67707,-0.00163447856903,80664,0.0153761,168.4803009033203
,940.6,-20.15,86,0.00101792,0.0131365,,1.69988,0.00118666887283,80664,0.0131365,169.5722165107727
,941.375,-20.125,87,0.000972918,0.0110008,1,1.66615,-0.00251388549805,81597,0.0110008,170.66016387939453
,940.575,-20.125,88,0.000424127,0.00930098,1,1.70707,0.000452876091003,82413,0.00930098,171.80784487724304
,940.575,-20.125,88,0.00115721,0.0151042,,1.63176,-0.00151634216309,82413,0.0151042,172.85095119476318
,940.575,-20.125,88,0.00114033,0.0144806,,1.64637,7.61747360229e-05,82413,0.0144806,173.9021680355072
,944.4,-20.125,89,0.00115307,0.0155947,1,1.61917,-0.000357747077942,83505,0.0155947,174.95763659477234
,944.4,-20.125,89,0.000387592,0.00788341,,1.68319,-0.00158977508545,83505,0.00788341,176.03047132492065
,946.85,-20.1,90,0.00102195,0.014028,1,1.68769,-0.00450122356415,84497,0.014028,177.08970737457275
,949.25,-20.075,91,0.00105088,0.0161595,1,1.6636,-0.0026707649231,85465,0.0161595,178.16459846496582
,949.25,-20.075,91,0.00106532,0.0156617,,1.64806,0.00104004144669,85465,0.0156617,179.23617267608643
,950.625,-20.05,92,0.00106471,0.0147677,1,1.65081,-0.00773978233337,86298,0.0147677,180.3052613735199
,950.625,-20.05,92,0.000906867,0.0129189,,1.62192,0.000632643699646,86298,0.0129189,181.38409972190857
,955.625,-20.05,93,0.000975706,0.0136785,1,1.60072,-0.00568795204163,87470,0.0136785,182.44071292877197
,955.625,-20.05,93,0.00120736,0.0165273,,1.61991,-0.00596415996552,87470,0.0165273,183.49455380439758
,961.775,-20.0,94,0.00105815,0.0116994,1,1.60803,0.00107854604721,88536,0.0116994,184.5612235069275
,961.775,-20.0,94,0.000987609,0.0127153,,1.64301,-0.00164520740509,88536,0.0127153,185.61434626579285
