nupdates,fps,value_loss,explained_variance,policy_entropy,total_timesteps
45300,1475,0.009599244222044945,0.8604159355163574,1.713667631149292,3624000
45400,1475,0.011287810280919075,0.8054442703723907,1.6724603176116943,3632000
45500,1475,0.0032064516562968493,0.8688220828771591,1.7001097202301025,3640000
45600,1475,0.005551817361265421,0.9495987370610237,1.6321083307266235,3648000
45700,1475,0.024220028892159462,0.6808159351348877,1.6294565200805664,3656000
45800,1475,0.013448012992739677,0.848531037569046,1.6569015979766846,3664000
45900,1475,0.05107211321592331,0.590158075094223,1.565739631652832,3672000
46000,1475,0.005454516503959894,0.7516956180334091,1.6618716716766357,3680000
46100,1475,0.007750522345304489,0.822984516620636,1.6302896738052368,3688000
46200,1475,0.007563927676528692,0.9157253131270409,1.659065842628479,3696000
46300,1475,0.013142712414264679,0.7813358455896378,1.678694486618042,3704000
46400,1475,0.004476129077374935,0.9162954762578011,1.7087068557739258,3712000
46500,1475,0.0063695041462779045,0.8077801764011383,1.6694796085357666,3720000
46600,1475,0.007880677469074726,0.894648365676403,1.7010047435760498,3728000
46700,1475,0.0051689473912119865,0.9153606742620468,1.7223503589630127,3736000
46800,1475,0.00694003701210022,0.8881758749485016,1.6531174182891846,3744000
46900,1475,0.026361793279647827,0.6004994511604309,1.6721553802490234,3752000
47000,1475,0.017974890768527985,0.8001483678817749,1.7559916973114014,3760000
47100,1475,0.010308893397450447,0.823159471154213,1.6567332744598389,3768000
47200,1475,0.012278823181986809,0.8517745584249496,1.7108322381973267,3776000
47300,1475,0.007199958898127079,0.8539552688598633,1.675912857055664,3784000
47400,1475,0.008044439367949963,0.9156966358423233,1.6749308109283447,3792000
47500,1475,0.005042687524110079,0.8598607927560806,1.6842674016952515,3800000
47600,1475,0.012262735515832901,0.7827893793582916,1.6246604919433594,3808000
47700,1475,0.012376653030514717,0.5927324295043945,1.7015416622161865,3816000
47800,1475,0.006688860245049,0.8682906478643417,1.5926331281661987,3824000
47900,1475,0.01154336053878069,0.8128739893436432,1.7138561010360718,3832000
48000,1475,0.016056854277849197,0.7558554857969284,1.6638882160186768,3840000
48100,1475,0.010852871462702751,0.7984293848276138,1.7207062244415283,3848000
48200,1475,0.011435018852353096,0.8742656409740448,1.6761995553970337,3856000
48300,1475,0.014313166961073875,0.8252010494470596,1.7093451023101807,3864000
48400,1475,0.006532348692417145,0.881263256072998,1.6687004566192627,3872000
48500,1475,0.010623395442962646,0.7526106238365173,1.7027933597564697,3880000
48600,1475,0.006001637317240238,0.8705739378929138,1.7483546733856201,3888000
48700,1475,0.007426210679113865,0.8716597408056259,1.6372528076171875,3896000
48800,1475,0.01370337326079607,0.6317925155162811,1.658172845840454,3904000
48900,1475,0.017676260322332382,0.5936227440834045,1.633298635482788,3912000
49000,1475,0.004950148519128561,0.9485150054097176,1.6696687936782837,3920000
49100,1475,0.019543226808309555,0.767566367983818,1.6802959442138672,3928000
49200,1475,0.00578868854790926,0.8285487294197083,1.6276763677597046,3936000
49300,1475,0.011789001524448395,0.8288385719060898,1.6211979389190674,3944000
49400,1474,0.006572065409272909,0.8519673049449921,1.6640949249267578,3952000
49500,1474,0.00610304344445467,0.8547568917274475,1.6666221618652344,3960000
49600,1474,0.004449501167982817,0.7767399251461029,1.650146245956421,3968000
49700,1474,0.008170054294168949,0.9144641235470772,1.6163629293441772,3976000
49800,1474,0.013185983523726463,0.8563156872987747,1.543532133102417,3984000
49900,1474,0.010257290676236153,0.7906042188405991,1.662797212600708,3992000
50000,1474,0.017203349620103836,0.7942579835653305,1.652361512184143,4000000
50100,1474,0.008483177050948143,0.7496030330657959,1.7091190814971924,4008000
50200,1474,0.013715723529458046,0.8570819348096848,1.60711669921875,4016000
50300,1474,0.014551538042724133,0.9093640372157097,1.7329819202423096,4024000
50400,1474,0.005545369349420071,0.8630934804677963,1.733313798904419,4032000
50500,1474,0.005429273936897516,0.8811027184128761,1.687556505203247,4040000
50600,1474,0.00792616419494152,0.7531787902116776,1.6104059219360352,4048000
50700,1474,0.019905254244804382,0.6644286215305328,1.7138864994049072,4056000
50800,1474,0.011558681726455688,0.8749645799398422,1.603224515914917,4064000
50900,1474,0.0069486782886087894,0.8120347112417221,1.664689302444458,4072000
51000,1474,0.009640289470553398,0.8654213845729828,1.6770813465118408,4080000
51100,1474,0.00972035527229309,0.780901700258255,1.6742557287216187,4088000
51200,1474,0.011870252899825573,0.8387198597192764,1.610177993774414,4096000
51300,1474,0.012072446756064892,0.7301163971424103,1.3411829471588135,4104000
51400,1474,0.007811448071151972,0.8984736502170563,1.690164566040039,4112000
51500,1474,0.012697940692305565,0.4976511597633362,1.6577246189117432,4120000
51600,1474,0.00759920384734869,0.8219769299030304,1.711561918258667,4128000
51700,1474,0.0038925085682421923,0.9184210672974586,1.688846230506897,4136000
51800,1474,0.009217127226293087,0.8621653914451599,1.7156283855438232,4144000
51900,1474,0.010162795893847942,0.44046080112457275,1.7147823572158813,4152000
52000,1474,0.008842571638524532,0.8366903960704803,1.7375472784042358,4160000
52100,1474,0.008447391912341118,0.8150420039892197,1.651137351989746,4168000
52200,1474,0.011013349518179893,0.8414119184017181,1.7198541164398193,4176000
52300,1474,0.006244128104299307,0.9064998924732208,1.6136471033096313,4184000
52400,1474,0.014986308291554451,0.7229987680912018,1.727205514907837,4192000
52500,1474,0.016169313341379166,0.7023255825042725,1.6448894739151,4200000
52600,1474,0.006596576422452927,0.8787399753928185,1.6713285446166992,4208000
52700,1474,0.006406508386135101,0.5606282353401184,1.633815050125122,4216000
52800,1474,0.003578293602913618,0.9395229779183865,1.683214545249939,4224000
52900,1474,0.02714003622531891,0.7506592720746994,1.5748484134674072,4232000
53000,1474,0.006536493543535471,0.8482138514518738,1.708609938621521,4240000
53100,1474,0.009734125807881355,0.721997857093811,1.6682389974594116,4248000
53200,1474,0.004800059366971254,0.8614822775125504,1.7227096557617188,4256000
53300,1474,0.036333564668893814,0.7285459041595459,1.6512588262557983,4264000
53400,1474,0.007201032247394323,0.8284877836704254,1.698720932006836,4272000
53500,1474,0.012458240613341331,0.8289549648761749,1.689460039138794,4280000
53600,1474,0.02054298296570778,0.6277564764022827,1.585773229598999,4288000
53700,1474,0.007138060871511698,0.796826645731926,1.6397621631622314,4296000
53800,1474,0.015227553434669971,0.8974696472287178,1.6586475372314453,4304000
53900,1474,0.007104509510099888,0.8348432183265686,1.695368766784668,4312000
54000,1474,0.01222715713083744,0.8408612012863159,1.6312824487686157,4320000
54100,1474,0.007245675660669804,0.7505596876144409,1.6818058490753174,4328000
54200,1474,0.01518236380070448,0.8354984372854233,1.6710293292999268,4336000
54300,1474,0.004699990153312683,0.7531865835189819,1.7187639474868774,4344000
54400,1474,0.013412965461611748,0.6501290202140808,1.6734859943389893,4352000
54500,1474,0.011728334240615368,0.767194390296936,1.686006784439087,4360000
