explained_variance,total_timesteps,policy_entropy,fps,nupdates,value_loss,policy_loss
0.7155055105686188,6621440,0.6275026798248291,1091,10346,0.7141597867012024,-0.1895189881324768
0.9773452319204807,6622080,0.6582392454147339,1091,10347,0.05151546001434326,0.016426345333456993
0.9512481540441513,6622720,0.6543998122215271,1091,10348,0.12104008346796036,-0.03477665036916733
0.9107350930571556,6623360,0.6660908460617065,1091,10349,0.25704026222229004,0.025922592729330063
0.9694638382643461,6624000,0.6429351568222046,1091,10350,0.10543419420719147,-0.07444754242897034
0.8841897994279861,6624640,0.6234430074691772,1091,10351,0.5148197412490845,0.028124365955591202
0.9749338943511248,6625280,0.6337305903434753,1091,10352,0.1369026005268097,0.04423841834068298
0.9315114170312881,6625920,0.643168568611145,1091,10353,0.3379981517791748,0.011475402861833572
0.8652884662151337,6626560,0.6288923621177673,1091,10354,0.5313780903816223,-0.04229205846786499
0.8724834769964218,6627200,0.6694734692573547,1091,10355,0.38310158252716064,-0.047828830778598785
0.9782823212444782,6627840,0.6411508321762085,1091,10356,0.06025134399533272,0.013304280117154121
0.923154927790165,6628480,0.6649519801139832,1091,10357,0.25321969389915466,0.0972839966416359
0.9629725329577923,6629120,0.6603679656982422,1091,10358,0.09378012269735336,0.05352287366986275
0.9733283240348101,6629760,0.6443738341331482,1091,10359,0.07905980944633484,-0.03845347836613655
0.8051224797964096,6630400,0.6264949440956116,1091,10360,0.6458640694618225,0.043800175189971924
0.9412110894918442,6631040,0.6423978805541992,1091,10361,0.1559171974658966,-0.044769130647182465
0.8850936144590378,6631680,0.6541624069213867,1091,10362,0.4776349663734436,0.09284580498933792
0.9444809854030609,6632320,0.6417725682258606,1091,10363,0.36234959959983826,-0.00728851230815053
0.9403469897806644,6632960,0.6042674779891968,1091,10364,0.2872920036315918,-0.0795096829533577
0.9652096927165985,6633600,0.6657458543777466,1091,10365,0.14456577599048615,-0.015131089836359024
0.8978075906634331,6634240,0.6413460969924927,1091,10366,0.3678009808063507,-0.054002828896045685
0.9367057532072067,6634880,0.6628482341766357,1091,10367,0.18092474341392517,0.002489883918315172
0.929892048239708,6635520,0.6612644195556641,1091,10368,0.19893357157707214,0.03999585658311844
0.9280024394392967,6636160,0.6288164854049683,1091,10369,0.2246602475643158,-0.08622688055038452
0.9560680240392685,6636800,0.6452130079269409,1091,10370,0.13172459602355957,0.00450286827981472
0.8295466154813766,6637440,0.6587851643562317,1091,10371,0.5125309228897095,-0.026307327672839165
0.9381171688437462,6638080,0.6348456740379333,1091,10372,0.15523816645145416,0.06273612380027771
0.6085078120231628,6638720,0.6447350382804871,1091,10373,1.0408248901367188,-0.22498081624507904
0.8992086350917816,6639360,0.632624089717865,1091,10374,0.3349561095237732,0.01831788569688797
0.8970563188195229,6640000,0.6526162624359131,1091,10375,0.22948122024536133,-0.028275268152356148
0.9544836170971394,6640640,0.6501452326774597,1091,10376,0.12296734750270844,0.0025238655507564545
0.9528212547302246,6641280,0.6456136703491211,1091,10377,0.11552529036998749,-0.08782337605953217
0.9345724880695343,6641920,0.6624926328659058,1091,10378,0.19086016714572906,-0.02993874065577984
0.9426570907235146,6642560,0.6801743507385254,1091,10379,0.16406169533729553,-0.051467347890138626
0.9762462358921766,6643200,0.6693054437637329,1091,10380,0.10997790098190308,0.01958242803812027
0.9617397524416447,6643840,0.6441754102706909,1091,10381,0.13205857574939728,0.010894447565078735
0.9256494343280792,6644480,0.6371630430221558,1091,10382,0.39503422379493713,-0.08145897835493088
0.9485898837447166,6645120,0.6493937373161316,1091,10383,0.17850124835968018,-0.044747546315193176
0.9095111787319183,6645760,0.6276969313621521,1091,10384,0.25605201721191406,-0.073579341173172
0.9709610026329756,6646400,0.6559639573097229,1091,10385,0.07290135324001312,0.016831107437610626
0.9541508555412292,6647040,0.6169379353523254,1091,10386,0.09334730356931686,-0.018898583948612213
0.9291064143180847,6647680,0.6508528590202332,1091,10387,0.17440494894981384,0.058890849351882935
0.9343318790197372,6648320,0.6249703168869019,1091,10388,0.1527513712644577,-0.036060839891433716
0.9470283277332783,6648960,0.6475709676742554,1091,10389,0.11534588038921356,0.01697547361254692
0.9471075721085072,6649600,0.668976902961731,1091,10390,0.11839024722576141,0.08103765547275543
0.840211346745491,6650240,0.6188412308692932,1091,10391,0.9840146899223328,0.18212172389030457
0.9221049845218658,6650880,0.6262664794921875,1091,10392,0.4105808138847351,4.6335626393556595e-05
0.9422856159508228,6651520,0.6086090803146362,1091,10393,0.25154876708984375,0.20385707914829254
0.944748654961586,6652160,0.656818151473999,1091,10394,0.16837230324745178,0.03431520611047745
0.8794761225581169,6652800,0.6421970725059509,1091,10395,0.300220251083374,-0.10351104289293289
0.9481681026518345,6653440,0.6519486308097839,1091,10396,0.09980522096157074,0.005506342276930809
0.8440081924200058,6654080,0.6772133708000183,1091,10397,0.3897586464881897,-0.0025331643410027027
0.9270308613777161,6654720,0.6489946246147156,1091,10398,0.16243331134319305,-0.005001440644264221
0.6953247785568237,6655360,0.6537325978279114,1091,10399,0.4621947705745697,-0.06615276634693146
0.9568385146558285,6656000,0.6580491065979004,1091,10400,0.08588747680187225,-0.04000354930758476
0.9486097171902657,6656640,0.6574839353561401,1091,10401,0.0959845557808876,-0.027098972350358963
0.9403619579970837,6657280,0.6558353900909424,1091,10402,0.10439032316207886,-0.04948287457227707
0.9462282210588455,6657920,0.6709309816360474,1091,10403,0.10363452136516571,-0.04740354046225548
0.9641596861183643,6658560,0.6636672019958496,1091,10404,0.06766761839389801,-0.03893164172768593
